,SS02232_35c_r14,SS02232_35c_r09,SS02232_35c_r05,SS02232_35c_r02,SS02232_35c_r04,SS02232_35c_r13,SS02232_35c_r12,SS02232_35c_r03,SS02232_35c_r06,SS02232_35c_r10,SS02232_35c_r08,SS02232_35c_r01,SS02232_35c_r07,SS02232_35c_r11,SS00238_r6,SS00238_r3,SS00238_r2,SS00238_r4,SS00238_r1,SS00238_r7,SS00238_r5,50pg_CBqRNA_r3,50pg_CBqRNA_r5,50pg_CBqRNA_r1,50pg_CBqRNA_r2,50pg_CBqRNA_r6,50pg_CBqRNA_r4,50pg_CBqRNA_r7,50pg_CBqRNA_r8
FBgn0020912,0,0,0,0,0,0,0,0,0,0,0,0,6.573325445,0,19.87657502,21.60923673,8.907915169,25.46310536,5.372919938,19.03093761,8.588646178,3.816761844,8.531502879,10.54836914,13.83814901,8.036190717,1.025693625,3.989621664,8.148769366
FBgn0020930,157.1392654,159.3559696,174.0433981,188.8848702,74.60459564,176.2784118,149.1312613,116.7298258,227.7460967,215.3007331,305.1490101,23.50479544,46.95232461,101.1623647,94.89461622,90.61264483,117.9473953,114.0643189,63.99388225,65.66848224,102.2750009,128.243198,174.895809,177.6994494,141.1491199,91.07682813,78.97840915,148.2809385,167.7288361
FBgn0021738,53.33211431,3.225829345,0,0,0,0,0,1.191120672,0,0.831276962,0,0,1.408569738,0,2.671582664,0,0.329922784,0.779482817,3.528484736,0.939799388,0,10.68693316,11.57846819,5.679891076,6.919074505,0.535746048,0,7.314306384,0
FBgn0021742,0,0,0,0,0,0,0.32704224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.923580794,0,0,0,1.607238143,0,0,0
FBgn0021750,0,0,0,32.77182291,0,0,0,0,46.0861453,0,0,0,0,0,18.48735203,22.23559142,5.691168025,24.48875184,13.63278193,11.39506758,2.979734388,19.08380922,12.79725432,22.7195643,20.06531606,14.46514329,11.28262988,16.6234236,7.469705252
FBgn0021760,67.14132248,28.38729823,84.89921856,4.766810604,76.33958624,70.99542443,161.8859087,85.76068837,90.82997568,52.3704486,3.663881768,52.07925264,112.2160558,55.13804562,12.93046009,44.57557528,25.48653507,31.24426958,51.32341434,19.85326207,18.84243804,22.1372187,9.750289005,13.79402118,25.60057567,16.60812748,9.231242628,28.59228859,9.506897594
FBgn0021761,25.71369797,0,0,0,0,0,2.289295679,0,12.0808342,31.58852455,27.21740742,3.687026736,8.920941676,0,5.450028634,0,0.82480696,5.846121128,0,6.108696022,0.52583548,6.10681895,6.703323691,8.114130108,15.91387136,11.250667,5.128468127,5.319495552,7.469705252
FBgn0021764,55.71301227,51.61326951,10.30919083,62.56438918,0,5.647363307,7.194929275,0,59.50929441,118.0413286,57.57528492,5.991418445,4.695232461,42.83451478,0,2.609811199,0,0,0,0,0.087639247,6.10681895,4.875144502,0,0,3.750222335,0,7.979243328,10.18596171
FBgn0021765,153.8060082,3.225829345,23.6504966,0,22.55487775,27.02666725,121.332671,51.81374923,0.447438304,12.88479291,21.45987892,0,0,149.0094291,34.08939479,24.42783282,60.87075366,24.29388113,27.98729938,13.9795159,46.88699699,40.45767555,29.25086701,57.61032377,9.686704306,51.43162059,61.54161752,41.89102747,34.63226981
FBgn0021767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213726613,0,0,0.064956901,0.080192835,0,0.175278493,0,0,0,0,0,0,0.664936944,0
FBgn0021768,0,8.387156296,0.60642299,1.191702651,101.786115,82.69353413,59.52168764,61.3427146,0,0,0,0,21.12854607,0,15.92263268,23.90587058,15.83629363,25.78788986,23.97765763,2.466973394,6.39766501,20.61051396,21.93815026,49.49619366,58.12022584,18.75111167,60.51592389,37.90140581,29.1997569
FBgn0021776,0,0,0,0,0,0,0,0,0,0,18.31940884,0,0,0,0.641179839,0,0,0.064956901,0,3.054348011,0,2.290057106,3.046965314,0,2.767629802,0,1.025693625,0,0
FBgn0021795,49.52267758,60.00042581,95.81483238,28.60086363,0,34.28756293,20.60366111,248.9442204,115.8865207,52.3704486,46.58363962,56.22715772,67.61134744,66.07451747,88.37595452,118.381036,108.7095573,63.13810818,74.81991496,101.7332838,88.77855692,67.93836082,49.36083809,90.0668442,96.86704306,133.4007659,92.31242628,93.75610911,91.67365537
FBgn0021796,20.47572246,0,0,17.87553977,0,0,8.176055995,0,0,22.44447797,0,35.02675399,0,37.36627885,5.663755247,0.104392448,6.845897769,7.145259156,4.08983458,7.870819875,0.087639247,0.763352369,0,0.811413011,6.919074505,3.750222335,1.025693625,4.654558608,0
FBgn0021800,839.5046208,775.4893744,539.1100379,583.3384477,755.8775698,658.7245914,1216.597132,566.3778795,546.322169,1095.207397,753.7128208,546.6017135,780.8171583,586.012617,259.4641083,227.5755365,289.4247623,301.789764,356.3769583,243.9954161,154.507992,418.3170981,352.8385834,382.9869411,365.3271338,407.7027424,274.8858916,545.2482941,631.5296259
FBgn0021814,113.3307429,47.09710843,32.14041846,48.26395737,108.7260774,48.00258811,9.484224954,62.53383527,56.82466459,257.6958582,261.7058405,139.1852593,31.45805749,114.8329545,124.816342,109.298893,88.25434473,95.74647269,61.74848287,51.33654157,118.1377046,125.9531409,112.1283236,96.55814829,106.5537474,55.71758897,86.15826453,91.09636133,99.14336062
FBgn0021818,2.857077553,0,0,0,5.204971789,0.403383093,35.3205619,0,0,0,1.046823362,11.06108021,0,0,2.564719357,10.2304599,0,2.27349155,2.085013707,0,0.876392467,3.053409475,12.18786126,9.73695613,11.07051921,2.678730239,7.179855377,5.319495552,2.716256455
FBgn0021825,69.04604085,78.06507014,0,26.21745832,28.33817974,0.806766187,0,36.92474083,85.90815434,61.0988567,50.77093307,42.8616858,44.60470838,23.2400027,61.76699119,23.59269324,50.14826318,30.26991606,60.86636169,49.80936757,56.79023187,93.12898899,26.2039017,51.11901968,42.89826193,47.68139825,28.71942151,38.56634275,71.98079607
FBgn0021847,128.5684899,60.00042581,0,24.42990435,16.77157576,32.27064747,55.924223,1.191120672,7.159012862,25.35394734,28.78764246,23.96567378,47.42184786,43.74588743,26.60896333,23.48830079,9.732722129,30.20495916,11.30718972,32.54055381,43.11850938,74.04517977,55.45476871,53.55325872,36.67109487,35.8949852,51.28468127,21.27798221,107.9711941
FBgn0021856,80.47435106,101.9362073,171.0112831,41.70959279,34.69981193,204.9186114,52.98084285,50.62262855,54.14003477,0,161.2107978,21.20040373,0,2.278431637,48.83653109,73.59667581,85.12007828,52.61509015,93.42465266,86.69649355,93.68635474,48.09119923,107.8625721,120.0891256,67.11502269,69.64698621,65.64439202,56.51964024,123.5896687
FBgn0021872,136.1873633,167.7431259,96.42125537,47.66810604,9.253283181,93.18149456,51.99971613,58.96047326,39.82200904,184.959124,58.62210828,25.34830881,109.8684396,95.69412876,78.54453031,64.20135549,84.54271341,83.27474762,85.64594767,64.84615778,76.50906238,253.4329864,212.0687859,200.4190137,377.0895605,312.8756919,307.7080876,184.1875335,247.1793374
FBgn0021874,0,32.25829345,21.22480464,0,0,0.403383093,0.32704224,0,0,1.662553924,1.570235043,0,26.29330178,35.99921987,14.85399961,2.192241407,10.55752909,0.129913803,2.967134891,20.08821192,5.433633296,6.870171319,20.10997107,9.73695613,21.44913096,31.60901682,10.25693625,17.28836054,6.790641138
FBgn0021875,96.66445719,0,0.60642299,30.3884176,0,0,32.70422398,29.18245646,0,0,25.64717237,62.21857616,0,0,7.587294765,10.12606745,19.21800217,4.871767607,4.891762929,13.86204097,13.23352625,23.66392343,4.26575144,10.54836914,20.06531606,8.571936765,16.41109801,7.314306384,6.111577025
FBgn0021895,146.1871348,47.09710843,132.2002118,105.4656846,105.2560962,170.6310485,78.49013755,130.4277136,92.6197289,184.959124,73.27763535,161.3074197,53.9951733,112.0988365,72.88077507,86.54133936,10.14512561,60.15009072,59.50308349,60.26463576,65.90471353,110.6860935,92.01835248,88.44401818,80.26126425,63.21803364,107.6978307,65.82875746,76.73424486
FBgn0021906,309.9929144,505.8100412,586.4110311,529.1159771,192.005626,596.603595,696.5999708,315.0514177,429.5407717,479.2311686,712.8867096,373.311457,184.5226357,551.3804562,525.4468783,587.3119122,466.0984132,570.646379,350.6030742,557.1835622,704.1813473,687.0171319,552.719508,626.4108444,494.0219196,613.4292247,548.7460895,573.1756458,508.6190213
FBgn0021944,77.61727351,0,0,0,0,0.403383093,0,0,0,0,0,0,0,0.455686327,3.205899196,8.664573181,0,0,2.245399377,6.343645869,11.65601981,5.343466582,0.609393063,10.54836914,20.75722351,1.607238143,28.71942151,14.62861277,0
FBgn0021967,424.2760165,200.6465852,469.3713941,258.5994753,237.6937117,340.8587139,259.9985806,350.7850379,359.292958,162.5146461,196.2793804,376.9984837,285.4701336,347.6886678,485.8005916,521.8578473,486.3061837,554.0174122,384.6048362,431.9552937,543.3633296,319.0812902,351.6197972,316.4510742,349.4132625,321.9833747,401.0462075,256.0007235,349.7180186
FBgn0021979,397.1337798,199.3562535,269.2518074,181.7346543,261.98358,174.6648794,398.0104058,171.5213767,81.8812096,294.687683,192.6154986,94.94093844,208.4683213,261.1082656,144.6929171,156.379887,130.3194997,174.4742372,140.3374611,120.2943217,133.1240158,432.8207931,318.1031788,289.6744449,397.846784,316.6259143,423.6114673,289.9125076,375.522455
FBgn0021995,0,0,28.50188052,6.554364581,27.18151934,0,0,22.03573243,0.447438304,0.415638481,0,0,26.29330178,0,7.266704845,7.411863805,21.85738444,6.625603945,7.778704985,7.165970334,17.96604558,16.79375211,2.437572251,9.73695613,11.76242666,8.571936765,0,9.309117216,6.790641138
FBgn0022023,203.8048654,181.936775,227.4086212,255.6202187,126.0759833,196.0441834,103.3453478,91.71629173,201.3472367,98.50631999,101.0184544,100.9323569,142.2655436,264.2980699,214.1540663,260.772335,138.4026079,313.2871356,284.7647567,240.9410681,268.1760949,109.9227411,134.6758669,100.6152133,163.9820658,108.2207017,96.41520078,146.2861277,177.9147978
FBgn0022027,69.99840004,36.77445453,0,0,65.92964266,38.32139387,0,76.82728333,60.40417102,4.15638481,0,47.00959088,0.469523246,26.88549332,5.022575408,2.401026303,6.103571505,15.26487183,6.896583801,12.68729174,9.377399398,19.84716159,28.03208089,22.7195643,46.35779918,9.107682813,24.61664701,5.319495552,32.59507746
