gene_id,E-PG_l1r1,E-PG_l1r2,E-PG_l2r1,E-PG_l2r2,P-EG_r1,P-EG_r2,D7_l1r1,D7_l1r2,D7_l2r1,D7_l2r2,P-EN2_l1r1,P-EN2_l2r1,wholebrain_1,wholebrain_2
FBgn0000044,0.0,0.0,0.0,0.0,0.03,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.22
FBgn0000045,0.0,0.0,0.0,0.0,0.48,0.14,0.0,0.0,0.1,0.0,0.0,0.0,0.58,0.76
FBgn0000046,0.0,0.0,0.0,0.02,0.02,0.11,0.0,0.0,0.02,7.0,0.02,0.02,0.44,0.38
FBgn0000047,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.17
FBgn0000052,0.0,0.02,0.0,0.0,0.78,0.36,0.0,0.0,0.0,0.0,0.01,0.42,0.79,0.89
FBgn0000053,0.0,0.0,0.0,0.0,0.19,0.0,0.0,2.26,0.04,0.0,0.0,0.0,0.97,0.51
FBgn0000055,2.77,7.76,12.02,0.0,450.2,23.36,49.47,11.13,101.72,87.79,20.87,6.11,190.68,226.2
FBgn0000056,7.07,0.48,2.46,0.45,0.34,3.01,9.96,1.61,8.83,12.34,0.0,0.0,2.32,2.59
FBgn0000057,0.41,1.4,0.86,0.68,1.2,19.31,1.64,0.25,0.7,0.88,0.63,0.0,2.34,3.02
FBgn0000061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.2,0.12
FBgn0000063,1.21,0.89,0.88,0.07,0.01,1.34,0.78,11.06,8.74,3.36,0.0,0.01,1.58,1.53
FBgn0000064,161.92,197.42,240.45,154.44,141.76,139.6,303.16,173.36,265.61,362.2,121.93,194.0,154.92,153.06
FBgn0000071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.11
FBgn0000075,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.12
FBgn0000077,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.0,0.0,1.29,1.53
FBgn0000078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11,0.09,0.0,0.0,0.0,0.03
FBgn0000079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.04,0.03
FBgn0000083,0.0,0.0,0.0,0.52,27.06,0.03,0.0,0.0,1.65,0.05,0.0,0.0,16.76,13.42
FBgn0000084,14.98,1.37,1.06,3.5,1.38,0.04,4.73,11.22,6.07,11.38,0.0,0.0,2.68,3.65
FBgn0000092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.06
FBgn0000094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBgn0000097,1.1,17.65,5.03,7.8,14.62,5.55,11.68,0.73,1.65,16.43,89.45,85.98,27.76,25.95
FBgn0000100,19.83,29.17,7.34,27.94,71.47,15.89,18.25,12.68,4.69,9.4,0.33,23.87,12.04,10.22
FBgn0000108,119.91,212.91,182.62,149.55,280.82,529.48,193.66,134.57,180.76,292.57,496.51,1048.06,570.17,571.21
FBgn0000109,1.66,0.13,0.0,0.0,0.0,0.0,1.06,0.0,3.87,0.11,3.58,0.0,1.23,1.37
FBgn0000114,0.16,2.51,3.46,2.07,3.05,1.91,2.41,0.22,0.0,0.0,13.67,0.09,28.98,27.58
FBgn0000115,1.21,3.77,1.07,0.0,3.71,0.38,0.86,0.0,1.49,6.99,0.0,0.0,4.46,3.22
FBgn0000116,124.98,125.12,103.49,134.61,70.53,105.71,137.7,119.54,174.21,165.13,95.81,48.5,113.84,144.27
FBgn0000117,51.19,26.89,45.81,58.39,32.34,45.62,22.82,16.95,31.32,43.47,30.88,38.38,38.66,40.14
FBgn0000119,1.82,4.64,3.98,1.64,1.17,3.47,0.39,0.25,0.27,1.22,0.0,1.81,3.29,3.46
FBgn0000120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.73,9.06
FBgn0000121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.39,19.92
FBgn0000137,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.09,0.0,0.64,0.37,0.13
FBgn0000139,0.26,0.6,1.18,1.57,6.18,5.11,0.0,0.4,7.49,8.34,0.7,0.05,5.19,5.18
FBgn0000140,0.0,0.0,0.0,0.0,0.0,0.27,0.07,0.05,0.0,0.02,0.0,0.0,0.12,0.12
FBgn0000146,0.0,0.0,0.0,0.03,0.0,0.05,2.38,0.0,0.0,0.06,0.0,0.0,0.38,0.15
FBgn0000147,1.02,0.0,0.0,0.0,0.0,2.38,3.09,2.47,0.25,6.52,0.0,0.1,0.4,0.61
FBgn0000150,3.6,17.17,6.73,2.78,8.6,0.0,6.48,1.06,0.83,3.88,0.0,0.0,4.83,6.51
FBgn0000152,0.03,2.07,0.0,0.01,0.56,0.04,0.03,0.0,0.27,1.22,0.39,0.0,0.93,0.46
FBgn0000153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.05,0.0,0.08,10.85,9.48
FBgn0000157,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.56,0.0,0.91,5.67,0.0,5.48,6.09
FBgn0000158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.05
FBgn0000163,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.37
FBgn0000166,0.0,0.39,0.04,0.0,0.02,0.6,0.0,0.0,0.0,0.11,0.15,0.08,0.66,0.3
FBgn0000173,45.25,71.48,53.74,10.68,37.02,31.84,58.82,64.43,27.75,35.09,17.39,7.09,47.86,53.01
FBgn0000179,0.0,0.35,0.0,0.0,0.16,0.02,0.0,0.02,0.0,0.0,3.28,2.43,40.32,42.06
FBgn0000180,1.36,0.0,0.01,0.02,0.02,0.01,36.8,38.4,35.46,45.43,0.38,0.03,0.88,1.11
FBgn0000181,69.74,92.17,62.3,123.98,299.38,183.48,163.16,144.58,55.44,82.22,71.59,148.02,67.04,83.09
FBgn0000182,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.63,0.0,0.05,0.02
FBgn0000183,34.62,50.66,66.8,73.47,34.93,34.23,14.31,4.85,5.13,1.83,24.08,27.7,49.96,50.57
FBgn0000206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.46
FBgn0000212,6.06,6.81,8.95,6.62,4.58,6.51,2.12,6.23,2.16,5.12,8.45,3.63,8.17,7.64
FBgn0000216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0
FBgn0000221,0.0,0.0,0.0,0.0,0.39,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.39,0.49
FBgn0000227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.16
FBgn0000228,6.96,3.49,13.63,10.6,3.14,13.13,9.38,14.86,4.45,4.56,7.28,4.45,10.87,11.0
FBgn0000229,31.77,23.05,24.68,30.0,20.59,54.58,28.96,44.21,11.93,34.29,15.49,18.94,43.99,38.88
FBgn0000233,0.0,0.0,0.0,0.0,0.01,0.0,0.05,0.0,0.01,0.17,0.0,0.0,0.93,0.59
FBgn0000239,1.18,8.16,16.35,10.42,5.1,3.22,18.24,5.07,12.39,1.55,10.22,1.44,9.04,9.25
FBgn0000241,0.03,1.54,0.04,0.0,0.02,0.0,0.0,0.06,0.09,0.18,0.0,2.28,0.36,0.17
FBgn0000244,0.0,0.0,0.19,0.0,0.02,1.59,0.0,0.58,0.03,0.04,0.01,0.0,1.11,1.05
FBgn0000246,0.0,0.03,2.89,0.0,0.47,0.35,0.0,0.0,0.14,2.97,5.93,0.57,2.36,1.99
FBgn0000247,2.25,4.68,8.6,8.29,2.49,11.89,2.48,1.99,7.78,7.64,13.66,5.0,9.29,8.61
FBgn0000250,8.53,1.5,10.21,7.82,9.83,6.79,12.92,23.07,6.41,12.47,3.16,47.54,14.07,14.71
FBgn0000251,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.57,0.06,0.01,0.0,0.33,0.14
FBgn0000253,497.05,609.44,716.67,648.97,824.38,1191.39,193.59,130.27,228.19,243.67,762.23,1117.78,2092.15,2278.92
FBgn0000256,7.51,13.49,6.98,8.59,14.74,19.93,25.54,2.3,6.18,9.97,32.62,1.1,9.11,8.47
FBgn0000257,0.0,0.45,0.19,2.0,0.0,0.0,0.26,0.38,2.76,0.43,0.83,0.08,1.33,1.81
FBgn0000259,53.21,42.2,54.89,50.45,159.1,102.69,34.43,13.0,42.9,47.23,63.56,74.87,137.17,132.78
FBgn0000261,0.47,0.5,0.41,18.37,9.62,2.39,0.0,3.5,1.52,2.58,0.02,52.74,3.91,4.75
FBgn0000273,39.93,94.69,118.99,118.33,111.74,125.67,45.36,40.83,84.93,96.06,89.06,59.58,233.61,229.83
FBgn0000274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0
FBgn0000276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27
FBgn0000277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,1.25
FBgn0000278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
FBgn0000279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
FBgn0000280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBgn0000281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBgn0000283,5.1,16.53,5.89,18.78,4.99,10.78,9.3,10.62,10.07,6.48,6.37,7.83,28.44,26.51
FBgn0000286,5.57,16.79,17.16,21.9,26.89,11.1,9.37,16.1,6.15,14.01,13.39,7.68,38.9,38.56
FBgn0000287,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,1.29,0.27,0.27,0.0,2.68,2.31
FBgn0000289,7.01,27.66,43.92,27.84,34.71,83.73,23.64,34.65,24.65,44.38,37.27,60.36,54.23,55.9
FBgn0000299,1.39,1.22,0.0,0.01,29.52,0.14,0.0,0.0,0.01,0.42,0.01,0.01,12.04,13.32
FBgn0000303,51.0,47.04,40.77,39.17,14.04,30.56,5.52,0.31,0.02,0.26,12.08,21.48,43.37,44.39
